Date,Open,High,Low,Close,AdjClose,Volume,MA50,MA200,Previous day close price,Change in price,Percent change in price,Previous day volume,Change in volume,Percent change in volume
2010-01-05,15.695195,15.711712,15.554054,15.615365,15.615365,120067812,15.6498995,15.6498995,15.684434,-0.0690689999999989,,78169752.0,41898060.0,0.535988140271956
2010-01-06,15.662162,15.662162,15.174174,15.221722,15.221722,158988852,15.5071736666667,15.5071736666667,15.615365,-0.393643000000001,-0.0252086966907274,120067812.0,38921040.0,0.324158817852032
2010-01-07,15.25025,15.265265,14.831081,14.867367,14.867367,256315428,15.347222,15.347222,15.221722,-0.354355,-0.0232795606173861,158988852.0,97326576.0,0.61215975067233
2010-01-08,14.814815,15.096346,14.742492,15.065566,15.065566,188783028,15.2908908,15.2908908,14.867367,0.198199000000001,0.0133311433019714,256315428.0,-67532400.0,-0.263473800726502
2010-01-11,15.126627,15.126627,14.865866,15.042793,15.042793,288227484,15.2495411666667,15.2495411666667,15.065566,-0.0227730000000008,-0.00151159272741567,188783028.0,99444456.0,0.52676587007599
2010-01-12,14.956206,14.968969,14.714715,14.776777,14.776777,193937868,15.1820034285714,15.1820034285714,15.042793,-0.266016,-0.017683950048372,288227484.0,-94289616.0,-0.32713610337035
2010-01-13,14.426677,14.724224,14.361862,14.691942,14.691942,259604136,15.12074575,15.12074575,14.776777,-0.084835,-0.00574110308357499,193937868.0,65666268.0,0.338594358477737
2010-01-14,14.612112,14.86987,14.584835,14.761011,14.761011,169434396,15.0807752222222,15.0807752222222,14.691942,0.0690690000000007,0.00470114842544306,259604136.0,-90169740.0,-0.347335529353816
2010-01-15,14.848348,14.853854,14.465465,14.514515,14.514515,217162620,15.0241492,15.0241492,14.761011,-0.246496,-0.0166991271803808,169434396.0,47728224.0,0.281691469540813
2010-01-19,14.544545,14.775275,14.421672,14.705205,14.705205,172495332,14.9951542727273,14.9951542727273,14.514515,0.19069,0.0131378830088363,217162620.0,-44667288.0,-0.205685895666575
2010-01-20,14.664164,14.664164,14.396647,14.524775,14.524775,129897972,14.955956,14.955956,14.705205,-0.180429999999999,-0.012269805147225,172495332.0,-42597360.0,-0.246947900016216
2010-01-21,14.600601,14.685185,14.320571,14.589089,14.589089,252055692,14.9277354615385,14.9277354615385,14.524775,0.0643139999999995,0.00442788270386285,129897972.0,122157720.0,0.940412834158797
2010-01-22,14.126627,14.279279,13.384885,13.764014,13.764014,271743984,14.8446125,14.8446125,14.589089,-0.825075,-0.0565542509199855,252055692.0,19688292.0,0.0781108803525849
2010-01-25,13.678428,13.760761,13.401151,13.513514,13.513514,176619204,14.7558726,14.7558726,13.764014,-0.250499999999999,-0.0181996327524804,271743984.0,-95124780.0,-0.350052938062467
2010-01-26,13.462713,13.753754,13.420671,13.574074,13.574074,174045780,14.6820101875,14.6820101875,13.513514,0.0605599999999988,0.00448143983866808,176619204.0,-2573424.0,-0.0145704653951447
2010-01-27,13.545295,13.704955,13.396146,13.566066,13.566066,158417424,14.6163664117647,14.6163664117647,13.574074,-0.00800800000000024,-0.000589948161473132,174045780.0,-15628356.0,-0.0897945126851108
2010-01-28,13.625876,13.688689,13.278278,13.370621,13.370621,129034836,14.5471583333333,14.5471583333333,13.566066,-0.195444999999999,-0.0144069032245604,158417424.0,-29382588.0,-0.185475734032893
2010-01-29,13.475726,13.538288,13.153403,13.261762,13.261762,165454380,14.4795058947368,14.4795058947368,13.370621,-0.108859000000001,-0.0081416562476792,129034836.0,36419544.0,0.282245827010622
2010-02-01,13.378378,13.408659,13.270771,13.338839,13.338839,89941968,14.42247255,14.42247255,13.261762,0.077077000000001,0.00581197279818481,165454380.0,-75512412.0,-0.456394155295254
2010-02-02,13.387387,13.387387,13.203453,13.291291,13.291291,163684152,14.3686067619048,14.3686067619048,13.338839,-0.0475480000000008,-0.0035646280759518,89941968.0,73742184.0,0.819886262662165
2010-02-03,13.22998,13.566066,13.218969,13.534034,13.534034,119844036,14.3306716363636,14.3306716363636,13.291291,0.242743000000001,0.0182633124201404,163684152.0,-43840116.0,-0.267833601874908
2010-02-04,13.438438,13.463463,13.152152,13.182683,13.182683,134972892,14.2807590869565,14.2807590869565,13.534034,-0.351350999999999,-0.0259605524856816,119844036.0,15128856.0,0.126237871361408
